age,nl,sex,zcr
37.0,english,male,94026
52.0,english,male,80434
23.0,english,male,41936
52.0,english,male,69395
21.0,english,male,51179
20.0,english,male,33795
24.0,english,male,83792
21.0,english,male,53928
32.0,english,male,108220
18.0,english,female,64401
26.0,english,male,95611
20.0,english,female,96052
73.0,english,male,65924
21.0,english,female,63501
34.0,english,male,53914
30.0,english,male,50255
50.0,english,female,37639
42.0,english,female,99867
45.0,english,male,72482
31.0,english,male,21646
50.0,english,male,59299
18.0,english,female,63432
18.0,english,male,58484
18.0,english,male,28660
48.0,english,female,80431
53.0,english,male,67273
22.0,english,female,56786
22.0,english,female,90512
55.0,english,female,68091
18.0,english,male,71043
31.0,english,male,52209
42.0,english,male,67731
22.0,english,male,48432
52.0,english,female,100031
52.0,farsi,female,127788
30.0,finnish,male,78050
19.0,french,female,61674
19.0,french,female,41388
22.0,french,male,67098
23.0,french,male,54681
78.0,french,female,89718
76.0,french,female,73126
27.0,french,female,65149
62.0,french,male,83322
22.0,french,male,57106
22.0,french,male,69669
18.0,french,male,106541
18.0,french,male,70629
66.0,french,male,108676
72.0,gan,male,182393
51.0,gedeo,male,69911
48.0,german,female,40340
24.0,german,male,48849
20.0,german,female,49358
31.0,german,female,65862
53.0,german,female,56535
19.0,german,female,41220
29.0,german,female,43963
21.0,german,female,76012
24.0,german,male,78647
27.0,german,male,44265
21.0,german,female,59936
77.0,german,female,105646
23.0,german,male,83869
53.0,german,female,75636
19.0,german,female,54505
21.0,german,female,76544
29.0,german,female,82888
39.0,german,male,106985
28.0,german,male,57893
51.0,german,female,88278
18.0,german,female,79125
19.0,german,female,55074
47.0,german,male,112481
20.0,german,male,66031
25.0,german,male,22412
22.0,german,male,103336
24.0,greek,male,109706
22.0,greek,female,94396
20.0,gujarati,male,64617
22.0,gujarati,male,53953
53.0,gujarati,female,92201
28.0,gujarati,female,65654
29.0,gujarati,male,58279
40.0,gujarati,female,46466
27.0,gujarati,female,85109
19.0,gujarati,male,101106
51.0,hadiyya,male,95002
30.0,hadiyya,male,75268
27.0,hindi,male,65856
19.0,hindi,female,43172
20.0,hindi,male,63065
25.0,hindi,female,47802
43.0,hindi,female,108115
53.0,hindi,male,88332
23.0,hindi,female,96922
25.0,hindi,male,62238
47.0,hindi,female,131324
21.0,hindi,female,66307
31.0,hindi,male,152556
42.0,hindi,male,54539
28.0,hindi,female,63312
64.0,hindi,female,52319
27.0,hindi,female,38070
60.0,hindi,female,53727
19.0,hindi,male,39086
31.0,hindi,male,51309
29.0,italian,female,69736
48.0,italian,male,45804
30.0,italian,male,50799
20.0,italian,male,42266
20.0,italian,male,79537
48.0,italian,male,48036
40.0,italian,male,56057
28.0,italian,male,45707
20.0,italian,male,86389
19.0,italian,male,76896
46.0,italian,male,95978
32.0,italian,male,59605
42.0,italian,male,67335
23.0,italian,male,115963
34.0,italian,female,70312
23.0,italian,female,77406
40.0,italian,male,42319
49.0,italian,male,68337
33.0,italian,female,88895
25.0,italian,male,60474
21.0,italian,female,74984
55.0,italian,male,42172
23.0,italian,male,137994
59.0,italian,female,67125
49.0,italian,male,125753
78.0,italian,female,151610
47.0,italian,female,50293
52.0,italian,male,45875
32.0,italian,female,13410
24.0,italian,male,52494
43.0,italian,male,70772
18.0,italian,male,55796
36.0,kambaata,male,60883
51.0,kambaata,male,87803
54.0,kambaata,male,65342
26.0,kannada,female,58126
20.0,khmer,female,102579
19.0,kikongo,male,42466
38.0,konkani,female,60771
29.0,korean,male,94991
34.0,korean,male,90852
26.0,korean,male,63044
31.0,korean,male,69686
50.0,korean,female,102860
42.0,korean,male,67673
30.0,korean,female,70049
21.0,korean,male,93873
25.0,korean,male,53157
21.0,korean,female,76559
23.0,korean,female,57400
58.0,korean,female,79472
21.0,korean,male,22472
19.0,korean,female,63309
49.0,korean,female,87438
42.0,korean,male,76785
34.0,korean,female,90947
23.0,korean,male,63518
51.0,korean,male,152987
62.0,korean,female,101104
19.0,korean,female,69572
19.0,korean,female,53960
49.0,korean,female,138484
18.0,korean,female,117253
35.0,korean,female,134095
30.0,korean,female,74072
20.0,korean,female,121936
48.0,korean,male,92288
51.0,korean,female,127818
27.0,korean,female,95611
25.0,korean,male,66908
55.0,korean,male,118789
29.0,korean,female,47158
21.0,korean,female,48842
50.0,korean,female,80641
26.0,korean,male,123917
20.0,korean,male,72401
49.0,korean,male,129487
28.0,korean,male,72867
21.0,korean,female,84422
23.0,korean,male,113814
32.0,korean,male,57924
22.0,korean,female,118157
50.0,korean,female,148052
57.0,korean,female,149046
25.0,korean,male,50055
40.0,korean,male,56582
21.0,korean,female,68633
32.0,korean,male,24622
39.0,korean,female,56016
34.0,korean,male,64146
24.0,malayalam,male,68279
29.0,malayalam,female,57944
19.0,malayalam,female,58987
26.0,mandarin,female,73871
19.0,mandarin,male,43502
49.0,mandarin,male,111839
26.0,mandarin,male,65523
27.0,mandarin,male,101129
38.0,mandarin,female,88907
38.0,mandarin,female,87957
39.0,mandarin,female,45513
21.0,mandarin,female,86623
28.0,mandarin,female,79666
31.0,mandarin,female,36876
18.0,mandarin,male,77820
45.0,mandarin,male,136954
24.0,mandarin,male,52146
43.0,mandarin,male,79510
26.0,mandarin,female,79209
25.0,mandarin,male,36559
31.0,mandarin,female,56296
27.0,mandarin,female,62127
32.0,mandarin,female,110989
32.0,mandarin,female,121893
33.0,mandarin,female,119694
24.0,mandarin,female,86857
24.0,mandarin,female,110192
28.0,mandarin,male,73677
34.0,mandarin,female,118111
47.0,mandarin,female,107700
24.0,mandarin,female,69942
21.0,mandarin,male,110713
42.0,mandarin,female,127782
43.0,mandarin,female,87854
28.0,mandarin,female,106731
37.0,mandarin,male,68522
21.0,mandarin,male,71844
31.0,mandarin,female,110796
25.0,mandarin,male,65072
26.0,mandarin,female,67405
38.0,mandarin,female,105236
25.0,mandarin,female,86741
25.0,mandarin,female,112297
26.0,mandarin,female,71065
20.0,mandarin,male,85032
23.0,mandarin,male,77683
20.0,mandarin,female,190545
28.0,mandarin,female,115537
41.0,mandarin,female,57383
33.0,mandarin,female,128563
24.0,mandarin,male,37565
27.0,mandarin,male,86442
24.0,mandarin,female,140180
20.0,mandarin,female,80844
22.0,mandarin,male,85239
29.0,mandarin,male,63732
38.0,mandarin,male,57941
21.0,marathi,female,62063
28.0,marathi,male,64717
31.0,marathi,male,74372
25.0,mongolian,male,69365
19.0,mongolian,male,59793
24.0,naxi,female,87661
35.0,oriya,male,50164
32.0,oriya,male,123672
33.0,oromo,female,35148
33.0,oromo,male,78313
35.0,oromo,female,51843
26.0,polish,female,57228
30.0,polish,female,97260
56.0,polish,female,44594
40.0,polish,male,70532
22.0,polish,male,64605
97.0,polish,male,92715
25.0,polish,female,66288
19.0,polish,male,59478
33.0,polish,female,123263
18.0,polish,male,54781
24.0,polish,male,42026
26.0,polish,female,114199
53.0,polish,female,116675
30.0,polish,male,73083
19.0,polish,male,125887
21.0,polish,male,49795
20.0,polish,female,85462
20.0,polish,male,70614
19.0,polish,male,96920
19.0,polish,male,105801
20.0,polish,female,59809
20.0,polish,male,109072
31.0,polish,female,72125
21.0,polish,female,149886
34.0,polish,female,107274
42.0,polish,male,64239
21.0,polish,male,51513
48.0,polish,female,133507
47.0,polish,female,71459
22.0,polish,male,47811
26.0,polish,female,62011
20.0,polish,male,35442
20.0,polish,male,62466
23.0,polish,female,67035
37.0,portuguese,female,104199
21.0,portuguese,male,89369
40.0,portuguese,female,82612
18.0,portuguese,male,55613
25.0,portuguese,male,62256
54.0,portuguese,male,68482
25.0,portuguese,male,77956
18.0,portuguese,male,69091
32.0,portuguese,male,19030
18.0,portuguese,female,52961
21.0,portuguese,male,83935
23.0,portuguese,male,34332
29.0,portuguese,female,58776
22.0,portuguese,female,97257
20.0,portuguese,female,71402
25.0,portuguese,female,52101
33.0,portuguese,female,70138
36.0,portuguese,female,79630
28.0,portuguese,male,79826
18.0,portuguese,female,68802
26.0,portuguese,female,39839
29.0,portuguese,male,94410
29.0,portuguese,male,55823
38.0,portuguese,male,50378
18.0,portuguese,male,28557
22.0,portuguese,female,50242
39.0,portuguese,female,170542
43.0,portuguese,female,51200
25.0,portuguese,male,59810
26.0,portuguese,female,90292
23.0,portuguese,male,83706
32.0,portuguese,female,55790
38.0,portuguese,female,45655
